Artista,Popolarita_artista,Follower_Artista,Url_Artista,Numero_di_apparizioni,Numero_ascoltatori_mensili,Nome_Instagram
(G)I-DLE,73,3132872,https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,19,"4.122.783 ascoltatori mensili",official_g_i_dle
$uicideboy$,87,4106674,https://open.spotify.com/artist/1VPmR4DJC1PlOtd0IADAO0,7,"8.998.524 ascoltatori mensili",suicideboysg59x
"2 Chainz",82,6863252,https://open.spotify.com/artist/17lzZA2AlOHwCwFALHttmp,17,"11.813.149 ascoltatori mensili",2chainz
"21 Savage",89,10668018,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,9,"25.298.257 ascoltatori mensili",21savage
2Pac,82,11948296,https://open.spotify.com/artist/1ZwdS5xdxEREPySFridCfh,62,"14.814.138 ascoltatori mensili",2pac
"3 Doors Down",73,3536409,https://open.spotify.com/artist/2RTUTCvo6onsAnheUk3aL9,18,"7.841.516 ascoltatori mensili",3doorsdown
"5 Seconds of Summer",82,8200345,https://open.spotify.com/artist/5Rl15oVamLq7FbSb0NNBNy,37,"18.532.584 ascoltatori mensili",5sos
"50 Cent",85,8310259,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,36,"19.710.069 ascoltatori mensili",50cent
6ix9ine,76,6655232,https://open.spotify.com/artist/7gZfnEnfiaHzxARJ2LeXrf,1,"8.506.549 ascoltatori mensili",6ix9ine
6LACK,81,3321039,https://open.spotify.com/artist/4IVAbR2w4JJNJDDRFP3E83,6,"18.309.927 ascoltatori mensili",6lack
"A Boogie Wit da Hoodie",86,6225861,https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I,14,"16.836.722 ascoltatori mensili",aboogievsartist
"A.R. Rahman",80,17272959,https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG,9,"13.791.271 ascoltatori mensili",rahman.beats
"A$AP Ferg",77,3215852,https://open.spotify.com/artist/5dHt1vcEm9qb8fCyLcB3HL,20,"11.077.199 ascoltatori mensili",asapferg
"A$AP Rocky",85,10501974,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,26,"20.677.815 ascoltatori mensili",asaprocky
Aaliyah,71,3048127,https://open.spotify.com/artist/0urTpYCsixqZwgNTkPJOJ4,18,"5.809.323 ascoltatori mensili",aaliyah
ABBA,83,7314118,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,50,"20.545.962 ascoltatori mensili",abba
AC/DC,84,22039385,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,66,"22.280.879 ascoltatori mensili",acdc
Adele,94,33183215,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,272,"60.306.009 ascoltatori mensili",adele
Aerosmith,78,11514138,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH,66,"15.587.527 ascoltatori mensili",aerosmith
Afrojack,77,3792874,https://open.spotify.com/artist/4D75GcNG95ebPtNvoNVXhz,21,"9.328.924 ascoltatori mensili",afrojack
"Agust D",71,7200387,https://open.spotify.com/artist/5RmQ8k4l3HZ8JoPb4mNsML,3,"2.930.060 ascoltatori mensili",agustd
Aimyon,71,3534898,https://open.spotify.com/artist/5kVZa4lFUmAQlBogl1fkd6,2,"2.387.539 ascoltatori mensili",aimyon36
Akon,83,3011147,https://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV,17,"15.619.639 ascoltatori mensili",akon
"Alan Walker",85,32290954,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN,54,"23.988.668 ascoltatori mensili",alanwalkermusic
"Alec Benjamin",80,3232459,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov,21,"12.918.454 ascoltatori mensili",alecbenjamin
"Alejandro Fernández",81,5022792,https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9,5,"11.742.221 ascoltatori mensili",Nan
"Alejandro Sanz",79,5791132,https://open.spotify.com/artist/5sUrlPAHlS9NEirDB8SEbF,7,"10.620.776 ascoltatori mensili",alejandrosanz
"Alessia Cara",80,9839708,https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR,45,"18.317.909 ascoltatori mensili",alessiasmusic
Alesso,80,3751073,https://open.spotify.com/artist/4AVFqumd2ogHFlRbKIjp1t,97,"20.702.304 ascoltatori mensili",alesso
